tipo,categoria,subcategoria,contenedor,instrucciones,errores_comunes,impacto,urgencia
tetrabrik,♻️ Reciclable (con condiciones),Tetrabrik / Envase multicapa,Contenedor VERDE / Punto Verde (en CABA incluido en BA Recicla),Enjuagar con agua;Abrir completamente para facilitar el lavado;Aplastar;Verificar si tu municipio acepta tetrabrik,❌ Tirarlo en basura común sin intentar reciclarlo;❌ Asumir que va junto con el cartón,El tetrabrik requiere maquinaria especial. Es un residuo trampa que mucha gente descarta mal.,Media
metal_lata,♻️ Reciclable,Metal — Lata de aluminio o acero,Contenedor VERDE / Punto Verde,Enjuagar para eliminar restos;Aplastar si es posible;Depositar en contenedor de reciclables,❌ Tirar sin enjuagar — atrae insectos y contamina otros reciclables,Una lata puede reciclarse y estar de vuelta en el super en 60 días.,Baja
organico,🌱 Orgánico,Restos de comida / materia orgánica,Compostaje casero / Punto Verde (con separación orgánica) / Contenedor MARRÓN donde disponible,Separar de otros residuos desde el origen;Si tenés jardín o balcón podés hacer compost casero;Llevar al Punto Verde si acepta orgánicos;Depositar en contenedor marrón donde esté disponible (no operativo en toda CABA aún),❌ Mezclar con envases — dificulta el compostaje,Los residuos orgánicos son el 40-50% de la basura doméstica. Compostarlos reduce emisiones de metano.,Baja
pila_bateria,⚠️ Residuo Especial / Peligroso,Pilas y baterías domésticas (AA — AAA — botón — 9V),Punto Verde / Punto Verde Móvil / Puntos de Recepción de importadores (Ley CABA 5991/2018),NUNCA tirar en la basura común;NUNCA tirar en contenedores de reciclables;Guardar en bolsa seca hasta llevarlas al punto de entrega;Buscar puntos de entrega en el mapa de Puntos Verdes del GCBA (APRA),❌ Tirar en basura común — liberan mercurio plomo y cadmio;❌ Quebrarlas o perforarlas,Una sola pila puede contaminar hasta 167.000 litros de agua (GCBA — Ley CABA 5991/2018).,🔴 ALTA
medicamento,⚠️ Residuo Especial,Medicamentos vencidos o sin usar,Farmacias adheridas al programa GIRSU,NUNCA tirar en la basura común;NUNCA tirar por el inodoro o la pileta;Llevar a farmacias adheridas al programa;Mantener en envase original hasta el descarte,❌ Tirar por el inodoro — contamina el agua;❌ Mezclar con basura común,Los medicamentos alteran ecosistemas acuáticos y generan resistencia bacteriana.,🔴 ALTA
aceite_cocina,⚠️ Residuo Especial,Aceite vegetal usado,Punto Verde / Centros de reciclaje de aceite,Dejar enfriar completamente;Filtrar para retirar sólidos;Guardar en botella de plástico cerrada;Llevar al Punto Verde,❌ Tirar por la pileta — 1 litro contamina 1.000 litros de agua;❌ Tirar en la basura,1 litro de aceite usado produce casi 1 litro de biodiesel.,🔴 ALTA
electronico,🖥️ RAEE — Residuo Electrónico,Aparatos eléctricos y electrónicos,Puntos RAEE / Campañas municipales,NUNCA tirar en basura común;Borrar datos personales si tiene memoria;Buscar campaña RAEE en tu municipio;Algunos fabricantes tienen programas de devolución,❌ Tirar en basura común — contienen metales pesados;❌ Quemarlos — gases tóxicos,Los RAEE contienen metales valiosos (oro — plata — cobre) que pueden recuperarse.,🔴 ALTA
panal,🚫 Basura común,Pañales descartables,Basura común — bolsa bien cerrada,Doblar y cerrar bien;Depositar en bolsa sellada en la basura común,❌ Tirar sin cerrar;❌ Creer que la parte de celulosa es reciclable,Un pañal descartable tarda entre 200 y 500 años en degradarse.,Baja
ropa_textil,♻️ Reciclable especial,Ropa y textiles / Calzado,Contenedores de ropa / Punto Verde / Donación,Donar si está en buen estado;Llevar a contenedor de ropa o Punto Verde si no sirve para uso;Separar por material si es posible,❌ Tirar en basura común si puede donarse o reciclarse;❌ Mezclar con residuos reciclables comunes,La industria textil genera el 20% de la contaminación hídrica global. Reutilizar y reciclar ropa reduce enormemente este impacto.,Media
madera,⚠️ Residuo Especial / Voluminoso,Madera y muebles,Recolección especial de voluminosos / Punto Verde / Donación,Considerar donación si el mueble está en buen estado;Consultar con tu municipio la fecha de recolección de voluminosos;Separar clavos y partes metálicas;Entregar en Punto Verde si acepta maderas,❌ Tirar en basura común sin consultar — genera problemas de recolección;❌ Quemar — libera gases tóxicos si tiene barniz o pintura,La madera puede chipearse para compost y mulch o reutilizarse como material de construcción.,Baja
aceite_motor,⚠️ Residuo Peligroso,Aceite lubricante / Aceite de motor,Talleres mecánicos / Estaciones de servicio / Puntos de recolección específicos,NUNCA tirar por la pileta o el suelo;Guardar en recipiente hermético bien cerrado;Llevar a un taller mecánico o estación de servicio que acepte aceite usado;Consultar campañas de recolección en tu municipio,❌ Tirar por el desagüe — contamina napas freáticas;❌ Mezclar con aceite de cocina usado;❌ Tirar en basura común,1 litro de aceite de motor puede contaminar hasta 1.000.000 litros de agua subterránea.,🔴 ALTA
bombilla,⚠️ Residuo Especial / Peligroso,Lámparas fluorescentes / CFL / Bajo consumo,Punto Verde / Ferreterías adheridas / Municipio,NUNCA romper — contienen mercurio;Guardar en la caja original si es posible;Llevar al Punto Verde o ferretería adherida al programa de recolección;Consultar puntos de recolección en tu municipio,❌ Tirar en basura común — contienen mercurio;❌ Romper — libera vapores de mercurio tóxicos,Las lámparas fluorescentes y CFL contienen mercurio que puede contaminar suelo y agua. Las LED NO contienen mercurio — ver categoría bombilla_led.,🔴 ALTA
pintura_solvente,⚠️ Residuo Peligroso,Pinturas — barnices y solventes,Puntos de recolección de residuos peligrosos / Municipio,NUNCA verter por el desagüe;Si queda muy poca pintura dejar secar con la tapa abierta antes de tirar el recipiente vacío;Guardar en envase original bien cerrado;Consultar campañas de recolección de residuos peligrosos en tu municipio,❌ Verter por el desagüe — contamina cursos de agua;❌ Mezclar con basura común;❌ Quemar — libera gases tóxicos,Las pinturas y solventes contienen compuestos orgánicos volátiles (COV) que dañan ecosistemas y la salud.,🔴 ALTA
aerosol,⚠️ Residuo Especial / Revisar contenido,Aerosoles,Vacío: contenedor reciclable / Con contenido: Punto de recolección de residuos peligrosos,Verificar que el aerosol esté completamente vacío antes de descartar;Si está vacío: la lata va al contenedor de reciclables (metales);Si tiene contenido: llevar a punto de recolección de residuos peligrosos;NUNCA perforar ni quemar,❌ Perforar o quemar — riesgo de explosión;❌ Tirar en reciclables si aún tiene contenido,Los aerosoles con propelentes o químicos son peligrosos. Una vez vacíos la lata es metal reciclable.,Media
neumatico,⚠️ Residuo Especial / Voluminoso,Neumáticos y cubiertas,Gomería / Recolección especial municipal,Llevar a la gomería al comprar neumáticos nuevos — suelen aceptar los usados;Consultar con tu municipio los días de recolección de voluminosos;NUNCA quemar — libera gases extremadamente tóxicos,❌ Tirar en basura común;❌ Quemar — libera dioxinas y metales pesados,Un neumático puede tardar más de 100 años en degradarse y acumula agua generando criaderos de mosquitos (dengue).,Media
bateria_auto,⚠️ Residuo Peligroso,Batería de plomo-ácido (auto / moto / UPS),Talleres mecánicos / Distribuidores de autopartes / Estaciones de servicio,NUNCA tirar en la basura común;NUNCA verter el electrolito por el desagüe;Al comprar batería nueva el vendedor debe recibir la usada;Llevar a taller mecánico o casa de autopartes,❌ Tirar en basura común — contienen plomo y ácido sulfúrico;❌ Verter el electrolito — es ácido corrosivo,Las baterías de plomo-ácido contienen hasta 8 kg de plomo y electrolito ácido corrosivo.,🔴 ALTA
bombilla_led,⚠️ Residuo Especial,Lámparas LED,Punto Verde / Municipio / Programas de fabricantes,No tirar en basura común — contienen componentes electrónicos;Llevar al Punto Verde más cercano;Algunas ferreterías y grandes superficies tienen puntos de recolección;No confundir con fluorescentes — las LED no contienen mercurio,❌ Tirar en basura común — contienen circuitos y metales que requieren gestión especial;❌ Tratar como fluorescentes — las LED no tienen mercurio,Las lámparas LED no contienen mercurio pero sí componentes electrónicos y soldaduras que requieren gestión especial.,Media
plastico_pvc,🚫 No reciclar en contenedor verde,PVC — Policloruro de Vinilo (código 03),Punto Verde específico / Basura común si no hay alternativa — NO al contenedor verde,NO depositar en el contenedor verde — contamina la carga de PET y HDPE;Identificar el código 03 en el envase para reconocer el PVC;Consultar con tu municipio si existe punto de recolección de PVC;Si no hay alternativa puede ir a basura común — NUNCA quemar,❌ Poner en el contenedor verde — inutiliza el lote de PET y HDPE;❌ Quemar — libera dioxinas y furanos (COPs regulados por Ley 26.011 — Convenio de Estocolmo);❌ Confundir con PET — buscar el número 03 en el símbolo de reciclaje del envase,Quemar PVC libera dioxinas — contaminantes orgánicos persistentes regulados por la Ley 26.011 (Convenio de Estocolmo).,Media
escombros,⚠️ Residuo Especial / Voluminoso,Escombros y residuos de construcción y demolición,Recolección especial municipal / En CABA llamar al 147 / Volquete autorizado,NUNCA mezclar con la basura común — impide la recolección;En CABA llamar al 147 para solicitar recolección especial;Separar materiales reutilizables (ladrillos enteros) para posible donación;Para grandes cantidades usar volquete autorizado,❌ Mezclar con basura común;❌ Abandonar en la vía pública — genera multas y obstáculos,Los residuos de demolición son el primer tipo de residuo sujeto a Manejo Especial según el Decreto GCBA 639/07.,Media
desconocido,❓ No identificado,Material no reconocido,Consultar en tu municipio o Punto Verde,En caso de duda NO mezclar con reciclables;Consultar en el Punto Verde más cercano;Podés buscar información en argentina.gob.ar/ambiente/residuos,❌ Poner en reciclables por las dudas — es preferible la basura común si no se sabe,Ante la duda — basura común es la opción más segura para no contaminar lotes de reciclables.,Media
reciclable_sucio,⚠️ No apto (sucio/húmedo),Residuo reciclable sucio/húmedo,Lavar y secar antes de reciclar / Basura común si no se puede limpiar,Enjuagar con agua para retirar restos de comida o grasa;Secar bien el residuo;Si no es posible limpiarlo o secarlo desechar en Basura Común,❌ Clasificar como reciclable si está sucio o húmedo — contamina el lote entero,Acondicionar los materiales reciclables permite que puedan ser procesados correctamente.,Media
